Feature,Importance
Glucose,0.2740860156935853
BMI,0.16190324135170842
DiabetesPedigreeFunction,0.1250204526671325
Age,0.11298460281989785
Insulin,0.09122368833417287
BloodPressure,0.08351848527125677
Pregnancies,0.08079503688100872
SkinThickness,0.07046847698123766
